account,balance,,,,
link109u9wwtzp3jtpc6gwhs27xzwh28a73d5hq2y4x,63083,,,,
link12wmkprs8003kda7t37swrkq7uqvd856kfcc6zq,18384,,,,
link14hj2tavq8fpesdwxxcu44rty3hh90vhujrvcmstl4zr3txmfvw9sgf2vn8,66934,,,,
link155svs6sgxe55rnvs6ghprtqu0mh69kehka00mt,5341,,,,
link16wjsayd6cskgr0xklud4ersxgz5s29fkqmjydc,1272,,,,
link17hww0chwhysf2zdvqed0s80q22nlkpp2atnzm3,7943,,,,
link1fg4hexp0lje8rdyj2l64py7fjn48tmhr8rawm4,436573,,,,
link1futjm4qspuh38mupnsagynnalvk6w93pf6r5k2,2278,,,,
link1jgljm4wdegdthpmfc74vlruuq9rr3xnklap4zm,3253,,,,
link1kle0am4rwhsl8w8n7lhcxtfpgn4en4tyzvxgzl,3693,,,,
link1lvpzgy352969z7mlcxjfua7jsmks6swl222agc,620140,,,,
link1n9ydc5m9nsdg5zval4tvacepjxuhz0k5ht94de,4298076,,,,
link1p9h0qypanl6ps04ezs9qr6arengvs998vd6eea,168184,,,,
link1s7l5j8qkyerz27st0amvz6r67trfaateqzly2a,166554,,,,
link1sut09a7j6c9pjc0mndfelvw4jqr9ddql6uusqq,12902,,,,
link1u34dgxjsyqte85d9rw3x9nv80as2cseupdexms,146311,,,,
link1uq4tx5g99yyrhns9807ltsq9nkv99zzqnxfp75,228409,,,,
link1vw8tgsq45yjsunse7m4qssxemk4ecs36lx8q72,30000,,,,
,,,,,
sum,6279330,,,,
